naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Aleksandrovo,Nova Crnja,45.6293975841774,20.591083781229635,Žarka Zrenjanina,86
Aleksandrovo,Nova Crnja,45.63071598568494,20.591621882392882,Žarka Zrenjanina,76
Aleksandrovo,Nova Crnja,45.64126857317114,20.591342994045828,Mihajla Pupina,31
Aleksandrovo,Nova Crnja,45.633777222872865,20.59263606656124,Žarka Zrenjanina,62
Aleksandrovo,Nova Crnja,45.63792230032427,20.599039404802113,Gavrila Principa,36A
Aleksandrovo,Nova Crnja,45.639150257001305,20.60002969576677,Gavrila Principa,25A
Aleksandrovo,Nova Crnja,45.63576085982382,20.600644400830223,Nikole Tesle,73
Aleksandrovo,Nova Crnja,45.643162364011864,20.592123286411056,Mihajla Pupina,23
Nova Crnja,Nova Crnja,45.6619942378892,20.589363023019256,Kiš Ferenca,27
Aleksandrovo,Nova Crnja,45.64376452900577,20.604202683520615,Vuka Karadžića,9
Nova Crnja,Nova Crnja,45.667133125816726,20.61351664577775,Magazinska,7
Vojvoda Stepa,Nova Crnja,45.67948969362869,20.649956335398883,Zmaj Jovina,57
Vojvoda Stepa,Nova Crnja,45.68793466200183,20.651491254339536,Zmaj Jovina,23B
Vojvoda Stepa,Nova Crnja,45.68527228515889,20.65181034192188,Jna,17
Vojvoda Stepa,Nova Crnja,45.68308733780637,20.6536490437598,Alekse Šantića,41A
Vojvoda Stepa,Nova Crnja,45.688415525212136,20.656077961634978,Njegoševa,33
Vojvoda Stepa,Nova Crnja,45.682018767761704,20.658436140908197,Nikole Tesle,48
Vojvoda Stepa,Nova Crnja,45.684477337489135,20.660697501336706,Jna,43
Srpska Crnja,Nova Crnja,45.72116112798746,20.67628887096362,Železnička,56
Srpska Crnja,Nova Crnja,45.725905121507154,20.681168317022834,Železnička,18
Srpska Crnja,Nova Crnja,45.72628018843287,20.68162176145008,Železnička,15
Srpska Crnja,Nova Crnja,45.724476891972756,20.68624559753769,Partizanska,78
Srpska Crnja,Nova Crnja,45.72527917076349,20.690749642977064,Patrijarha Arsenija Čarnojevića,30A
Srpska Crnja,Nova Crnja,45.723008314027105,20.69116413710559,Knez Mihajlova,21
Srpska Crnja,Nova Crnja,45.722841222310734,20.69178368078537,Knez Mihajlova,25
Srpska Crnja,Nova Crnja,45.72908973533336,20.69234795842315,Partizanska,25
Srpska Crnja,Nova Crnja,45.72899242483016,20.69398569739229,Petra Kočića,12
Srpska Crnja,Nova Crnja,45.7234488807019,20.69568436318674,Đure Jakšića,80
Srpska Crnja,Nova Crnja,45.73175274162758,20.69656902141042,Partizanska,5
Srpska Crnja,Nova Crnja,45.7261602929396,20.70252591643441,Nikole Tesle,34
Srpska Crnja,Nova Crnja,45.72498184851066,20.703992172113484,Dositejeva,17
Srpska Crnja,Nova Crnja,45.72751000290899,20.704519612962134,Nikole Tesle,7
Radojevo,Nova Crnja,45.73767098106873,20.79183268956821,Vojvode Mišića,125
Radojevo,Nova Crnja,45.74929812811563,20.793505823726107,Vojvode Mišića,17
